Site,Name,Sample,NewCode,Sample variability,Raw Material,State,Visibility,Accessability,Deposit,Type,Frequence,State of site,Observations,lat,long,Thin-sections
Ferrel,FR,ferrel_2,SP41,Variable,Chert,Secondary,Good,Easy,Slope,Nodule,Ponctual,Bad,,37.11269,-8.72624,No
Boca do Rio,boca,boca_1,SP42,Homogeneous,Other,Primary,Good,Moderate,Outcrop,Nodule,Rare,Good,,37.06636,-8.81306,Yes
Anticlinal do Peral,anticlinal,anti_1,SP43,Homogeneous,Other,Secondary,Good,Easy,Outcrop,Nodule,Abundant,Bad,,37.17885,-8.17444,No
Praia Andorinha,Andorinha_praia,andorinha_p_1,SP44,,,Secondary,,Easy,,Rounded pebble,Rare,,,37.055806,-8.85465,No
Vale Boi,,,,,,Archaeological site,,,,,,,,37.087089,-8.810837,
Alto Fica,AF,AP1,SP45,Homogeneous,Quartz,Secondary,Good,Moderate,Outcrop,,Ponctual,Bad,,37.21178,-8.10728,
Alto Fica,AF,AP1,SP46,Homogeneous,Quartz,Secondary,Good,Moderate,Outcrop,,Ponctual,Bad,,37.21178,-8.10728,
Casal da Colina,CdC,CdC_1,SP47,Homogeneous,Chert,Primary,Reasonable,Easy,Outcrop,Nodule,Rare,Bad,,37.10376,-7.94561,
Casal da Colina,CdC,cdc_2,SP48,Variable,Chert,Secondary,Bad,Moderate,Water line,Nodule,Rare,Bad,,37.10384,-7.94559,
Casal da Colina,CdC,cdc_2,SP49,Variable,Chert,Secondary,Bad,Moderate,Water line,Nodule,Rare,Bad,,37.10384,-7.94559,
Casal da Colina,CdC,cdc_4,SP50,Homogeneous,Chert,Primary,Reasonable,Easy,Outcrop,Nodule,Ponctual,Bad,,37.10357,-7.94596,
Casal da Colina,CdC,cdc_5,SP51,Homogeneous,Other,Primary,Good,Easy,Outcrop,Nodule,Abundant,Bad,,37.10358,-7.946,
Casal da Colina,CdC,cdc_6,SP52,Homogeneous,Chert,Secondary,Bad,Easy,Slope deposit,Nodule,Rare,Bad,,37.10367,-7.94622,
Guilhim,Gui,g_1,SP53,Variable,Chert,Secondary,Good,Moderate,Slope deposit,Nodule,Ponctual,,,37.09512,-7.93688,
Guilhim,Gui,g_2,SP54,Homogeneous,Chert,Isolated find,Reasonable,Moderate,Slope deposit,Nodule,Rare,,,37.09512,-7.93667,
Caliços,Cal,calicos_1,SP55,Homogeneous,Chert,Secondary,Good,Easy,Slope deposit,Nodule,Rare,Bad,em desmantelamento,37.10339,-7.80087,
Jordana,Jor,mon1,SP56,Homogeneous,Chert,Secondary,Reasonable,Easy,Outcrop,Nodule,Abundant,Bad,,37.11549,-7.82989,
Jordana,Jor,mon2,SP57,Homogeneous,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Bad,,37.11571,-7.82931,
Jordana,Jor,mon3,SP58,Homogeneous,Chert,Primary,Good,Easy,Outcrop,Nodule,Ponctual,Bad,,37.1156,-7.8292,
Jordana,Jor,moinho1,SP59,Homogeneous,Chert,Primary,Reasonable,Moderate,Outcrop,Nodule,Abundant,Medium,,37.10745,-7.79687,
Jordana,Jor,moinho2,SP60,Homogeneous,Other,Primary,Reasonable,Easy,Outcrop,Nodule,Rare,Bad,,37.1077,-7.79675,
Peral,Per,peral1,SP61,Homogeneous,Chert,Secondary,Good,Easy,Outcrop,Nodule,Ponctual,Bad,,37.12805,-7.8485,
